ticker,quarter,m01p01,0p1,0p2
COST,2024Q3,-0.019781216694295552,-0.02515928468590821,-0.02515928468590821
COST,2024Q4,-0.016651869136278252,-0.007688271256232766,-0.007688271256232766
COST,2025Q1,,,
COST,2025Q2,,,
CPAY,2023Q4,,,
CPAY,2024Q1,,,
CPAY,2024Q2,,,
CPAY,2024Q3,0.0647801600378492,0.052746660615776556,0.04202834875887864
CPAY,2024Q4,0.06135111428593004,0.057216857070044064,0.057216857070044064
CPAY,2025Q1,,,
CPAY,2025Q2,,,
CPAY,2025Q3,,,
CPB,2023Q4,0.07876623639679865,,-0.005177197006028712
CPB,2024Q1,-0.016259714428215447,,-0.022847399188695487
CPB,2024Q2,-0.0057733682265488865,,-0.033494559964181575
CPB,2024Q3,2.7651306641304427e-05,,
CPB,2024Q4,-0.05857334886348989,,0.007854936788721931
CPB,2025Q1,,,
CPB,2025Q2,,,
CPB,2025Q3,,,
CPRT,2023Q4,0.006572166154908219,0.017841677067896928,0.017841677067896928
CPRT,2024Q1,0.025353520869301288,0.019087286238784862,0.019087286238784862
CPRT,2024Q2,-0.011621901638819649,-0.01355897053567369,-0.01355897053567369
CPRT,2024Q3,-0.041574536599661996,-0.07221061649836842,-0.057455129586289296
CPRT,2024Q4,0.10176405253173519,0.12048903185456512,0.12048903185456512
CPRT,2025Q1,,,
CPRT,2025Q2,,,
CPRT,2025Q3,,,
CPT,2023Q4,-0.06916991725242826,-0.06527101017475875,-0.06527101017475875
CPT,2024Q1,0.03803407037657415,0.03554805808289887,0.03554805808289887
CPT,2024Q2,0.04678405979425091,0.05942677531905128,0.05942677531905128
CPT,2024Q3,0.0972338447417476,0.1243738277098303,0.1243738277098303
CPT,2024Q4,-0.030478102238314438,-0.026135809610066323,-0.026135809610066323
CPT,2025Q1,,,
CPT,2025Q2,,,
CPT,2025Q3,,,
CRL,2023Q4,-0.04661854720791617,-0.04819982401563554,-0.03938435691542717
CRL,2024Q1,0.07887320419704259,0.06828110728703012,0.07467062978385414
CRL,2024Q2,-0.03387640231678859,-0.03590193064924835,-0.03590193064924835
CRL,2024Q3,-0.13718720857806524,-0.1317500178569173,-0.13628246707576613
CRL,2024Q4,0.08367109543004213,0.06851834192837464,0.08556360622959212
CRL,2025Q1,,,
CRL,2025Q2,,,
CRL,2025Q3,,,
