ticker,fiscal_quarter,TariffSent_mean_call_all,TariffSent_neg_call_all,TariffSent_pos_call_all,TariffSent_fwd_call_all,TariffMentions_call_all,TariffSent_mean_call_prep,TariffSent_mean_call_qna,TariffSent_mean_press_all,TariffMentions_press_all,CAR_press_mkt_0p1,CAR_press_mkt_m01p01,CAR_press_mkt_0p2
AKAM,2024Q3,-0.6676665298783178,0.6676792420912534,1.27122129356394e-05,0.0,3,-0.9999911827008816,-0.0030172242331900634,,0.0,0.1085058,0.0967156,0.1085058
AKAM,2024Q4,-0.2600354169279976,0.41112003212958825,0.15108461520159067,0.23076923076923078,13,-0.045051784048018816,-0.39440018747798433,,0.0,-0.14401,-0.147039,-0.14401
AKAM,2025Q1,-0.07630022754691623,0.2496719733109103,0.17337174576399406,0.25,8,-0.07630022754691623,,,0.0,0.0,0.0,0.0
AKAM,2025Q2,0.19923012015836625,0.1024040042151076,0.30163412437347387,0.3333333333333333,3,0.44813232793239877,0.07477901627134997,,0.0,0.0,0.0,0.0
ALB,2024Q1,0.03878203957184498,0.19552404609041385,0.23430608566225886,0.2222222222222222,9,,0.03878203957184498,,0.0,0.0704888,0.0898917,0.0704888
ALB,2024Q2,-0.6068463287488157,0.643017897993559,0.036171569244743296,0.0,6,,-0.6068463287488157,,0.0,0.075064,0.0642,0.075064
ALB,2024Q3,0.1078951178291867,0.1421346181861629,0.2500297360153496,0.25,8,,0.1078951178291867,,0.0,-0.0713003999999999,-0.0589154999999999,-0.0713003999999999
ALB,2024Q4,0.09851700112488464,0.10159806682522907,0.20011506795011372,0.0,5,,0.09851700112488464,,0.0,0.043679,0.0113149999999999,0.043679
ALB,2025Q1,0.1916706276166397,0.05118459018866669,0.2428552178053064,0.19047619047619047,21,,0.1916706276166397,,0.0,0.0,0.0,0.0
ALB,2025Q2,-0.1455164090281999,0.24039466867075784,0.09487825964255794,0.21428571428571427,14,-0.00018504034960642457,-0.15669574508039938,,0.0,0.0,0.0,0.0
ALGN,2024Q1,-0.03502648399999586,0.3753967674560954,0.34037028345609954,0.125,8,-0.049746227596187964,-0.03011990280126516,,0.0,0.0243448,0.0342615999999999,0.0243448
ALGN,2024Q2,-0.09130756520895981,0.33400759802316315,0.24270003281420335,0.0,3,,-0.09130756520895981,,0.0,-0.0152812,-0.0091902999999999,-0.0152812
ALGN,2024Q3,-2.804271986178719e-05,2.880897773138713e-05,7.6625786959994e-07,0.0,1,,-2.804271986178719e-05,,0.0,-0.1014501999999999,-0.1245513,-0.1014501999999999
ALGN,2024Q4,-0.23540809686888842,0.2518346698632454,0.01642657299435697,0.14814814814814814,27,-0.052972811617321564,-0.3266257394946719,,0.0,0.0554666,0.0406198999999999,0.0554666
ALGN,2025Q1,0.2804629134172008,0.0524339129779513,0.3328968263951521,0.23684210526315788,38,,0.2804629134172008,,0.0,0.0,0.0,0.0
ALGN,2025Q2,-0.18818470210810806,0.4197638956242674,0.23157919351615935,0.18181818181818182,11,,-0.18818470210810806,,0.0,0.0,0.0,0.0
ALL,2024Q1,0.741903164665565,0.01367677565722154,0.7555799403227865,0.2,5,,0.741903164665565,,,,,
ALL,2024Q2,0.24448282303997237,0.2530195436739161,0.4975023667138885,0.0,4,,0.24448282303997237,,,,,
ALL,2024Q3,0.9627472967840731,0.0071057467721402645,0.9698530435562134,0.0,1,,0.9627472967840731,,,,,
ALL,2024Q4,-0.3205781038501492,0.3215640685668859,0.0009859647167367314,0.25,4,,-0.3205781038501492,,,,,
ALL,2025Q1,0.12174954896780193,0.11928120858770906,0.241030757555511,0.07692307692307693,13,,0.12174954896780193,,,,,
ALL,2025Q2,-0.03951782332080085,0.24349630613793863,0.20397848281713776,0.1,10,,-0.03951782332080085,,,,,
ALLE,2024Q1,0.6534358947807465,0.012405870938633089,0.6658417657193796,0.1111111111111111,9,0.9949837158811713,0.48266198423053414,,0.0,-0.0098421999999999,-0.0098421999999999,-0.0211053
ALLE,2024Q2,0.20255050010304868,0.15454974170548538,0.35710024180853406,0.125,16,0.191341523197769,0.2076454896054485,,0.0,-0.0214272,-0.0248153,-0.0214272
ALLE,2024Q3,0.8486357843213571,0.00734878467551519,0.8559845689968724,0.0,9,0.9996723095235879,0.5465627339168956,,0.0,0.0448748,0.0489057,0.0740377
ALLE,2024Q4,-0.08783145199110892,0.3468083694145898,0.2589769174234809,0.17647058823529413,17,-0.08783145199110892,,,0.0,-0.0554584,-0.0536371,-0.0554584
ALLE,2025Q1,0.009632742637435089,0.17797927168618696,0.18761201432362207,0.1388888888888889,36,0.19238719913540617,-0.09366325451359205,,0.0,0.0,0.0,0.0
ALLE,2025Q2,0.21062354763152225,0.09043365799805064,0.3010572056295729,0.13333333333333333,30,0.21062354763152225,,,0.0,0.0,0.0,0.0
AMAT,2024Q1,0.19825296208962878,0.20176087801712006,0.40001384010674884,0.0,5,,0.19825296208962878,,0.0,0.0635168999999999,0.0713427999999999,0.0635168999999999
AMAT,2024Q2,0.3692145637486724,0.131502286843071,0.5007168505917434,0.5,6,-0.39165850326298823,0.7496510972545027,,,,,
AMAT,2024Q3,0.02208439259170689,0.43263716125775686,0.4547215538494637,0.1111111111111111,9,,0.02208439259170689,,0.0,-0.0185772,0.0318316,-0.0185772
